Artist Name,Track Name,Cover Art URL,Genre
Johann Sebastian Bach,"Brandeburg Concerto No. 5 in D Major, BWV 1050: III. Allegro",https://i.scdn.co/image/ab67616d0000b27362c3ba38a4f37c980cc2d86f,"baroque, classical, early music, german baroque"
Giovanni Antonio Pandolfi Mealli,"Violin Sonata No.4 in D Major, Op. 3 ""La Castella"": II. Adagio",https://i.scdn.co/image/ab67616d0000b273f84b46994879c2f56568a508,"baroque, italian baroque"
Grażyna Bacewicz,Symphony No. 4: III. Scherzo. Vivace,https://i.scdn.co/image/ab67616d0000b27365bef32dc8afaa299bb280e0,"contemporary classical, early modern classical, polish classical"
Tony Ann,A Waltz For Christmas,https://i.scdn.co/image/ab67616d0000b2738c2017407ee2d5aa80c56b43,N/A
Leopold Godowsky,"53 Studies on the Chopin Études: No. 47 in G-Flat Major ""Badinage"" (After Chopin's Op. 10 No. 5 and Op. 25 No. 9)",https://i.scdn.co/image/ab67616d0000b2738892d6f72f7ebb2bbf48cb59,"polish classical, post-romantic era"
Hugo Wolf,"Goethe-Lieder: No. 9, Der Rattenfänger",https://i.scdn.co/image/ab67616d0000b2731bffa0058ec5ad099535e1d1,post-romantic era
Rita Strohl,Quand la fûte de Pan: IV. Lent,https://i.scdn.co/image/ab67616d0000b27379ece91b0a2c8a896839fba2,N/A
Ludwig van Beethoven,"String Quartet in F Major, Op. 18 No. 1: IV. Allegro",https://i.scdn.co/image/ab67616d0000b27312fa626a833105b6b792982f,"classical, classical era, early romantic era, german romanticism"
Daniela Mars,Heartweaving,https://i.scdn.co/image/ab67616d0000b273a7a5cb0d4ce858df070382d7,N/A
Sergei Rachmaninoff,"14 Romances, Op. 34: No. 14, Vocalise",https://i.scdn.co/image/ab67616d0000b273cce9a369d5adcc96cb21bdc4,"classical, post-romantic era, russian romanticism, ukrainian classical"
Giacomo Puccini,"Tosca, SC 69, Act III: Intermezzo",https://i.scdn.co/image/ab67616d0000b27327e5754a7e9f5b096b032906,"classical, italian opera, italian romanticism, post-romantic era"
Carl Thiel,Adeste Fidelis,https://i.scdn.co/image/ab67616d0000b273926a21787bc3ea954ff27071,N/A
Josh Jacobson,Snowmelt,https://i.scdn.co/image/ab67616d0000b27337fb6ed944d52d51b00f913d,la pop
Franco Alfano,Tre nuovi poemi: II. Melodia,https://i.scdn.co/image/ab67616d0000b2736b6c449cd8605a812dd6d9c2,"italian romanticism, post-romantic era"
Joseph Haydn,"String Quartet in F Major, Hob. III.82: III. Andante",https://i.scdn.co/image/ab67616d0000b273d87aada81bedc54d9e1a9172,"classical, classical era"
Wolfgang Amadeus Mozart,"Church Sonata in D major, K. 69: Church Sonata in D Major, K. 69",https://i.scdn.co/image/ab67616d0000b273a2f74179f8df5c541c3963c9,"classical, classical era"
Robert Schumann,"Piano Quartet in E-Flat Major, Op. 47: I. Sostenuto assai - Allegro ma non troppo",https://i.scdn.co/image/ab67616d0000b273de016d8ecbce5a8e96c122e7,"early romantic era, german romanticism"
