Artist Name,Track Name,Cover Art URL,Genre
Edward Ong,Celestial - Acoustic Instrumental,https://i.scdn.co/image/ab67616d0000b273897c49ac15d2e27c303e1e68,acoustic guitar cover
Lowfie,omg - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
Chilled Pig,Anti-Hero - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b27393322c815892932bdf197c39,N/A
Chilled Pig,midnight rain - piano instrumental,https://i.scdn.co/image/ab67616d0000b27379446c97d06c83747da10820,N/A
Box of Music,What Was I Made For - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b273561d6734846f04d33a265ab0,N/A
Lowfie,vegas - instrumental lofi,https://i.scdn.co/image/ab67616d0000b27394d25c0c4b530795ff8d46e4,lo-fi cover
Chilled Pig,you're on your own kid - piano instrumental,https://i.scdn.co/image/ab67616d0000b27379446c97d06c83747da10820,N/A
Chilled Pig,bones - piano instrumental,https://i.scdn.co/image/ab67616d0000b27379446c97d06c83747da10820,N/A
Lowfie,flowers - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
Lowfie,romantic homicide - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Chilled Pig,snow on the beach - piano instrumental,https://i.scdn.co/image/ab67616d0000b27379446c97d06c83747da10820,N/A
Lowfie,ditto - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Chilled Pig,One Kiss - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b273e971f8e0a8775d5969632471,N/A
Edward Ong,Surface Pressure - Acoustic Instrumental,https://i.scdn.co/image/ab67616d0000b2732235f2eb90f28d57237abab1,acoustic guitar cover
Chilled Pig,lift me up - piano instrumental,https://i.scdn.co/image/ab67616d0000b27379446c97d06c83747da10820,N/A
Lowfie,die for you - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Lowfie,made you look - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Lowfie,You Right - Instrumental Lo-Fi,https://i.scdn.co/image/ab67616d0000b2734c8a9a433d211ccac3ee8211,lo-fi cover
Chilled Teddy,September - Lofi Piano Instrumental,https://i.scdn.co/image/ab67616d0000b2738fb6e5358fd0c0b0c994afcd,lo-fi cover
Lowfie,kill bill - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Lowfie,unholy - instrumental lofi,https://i.scdn.co/image/ab67616d0000b27394d25c0c4b530795ff8d46e4,lo-fi cover
Lowfie,love again - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
floof,first class (lo-fi instrumental),https://i.scdn.co/image/ab67616d0000b273388e2a56c5c05f82caa6118d,lo-fi cover
Lowfie,typa girl - instrumental lofi,https://i.scdn.co/image/ab67616d0000b2732aa71082749d4f0b5ce54b9b,lo-fi cover
Lowfie,let her go - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
Chilled Pig,Make You Mine - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b273e971f8e0a8775d5969632471,N/A
Lowfie,Boyfriend - Instrumental Lo-Fi,https://i.scdn.co/image/ab67616d0000b2738edc6a92ed111912c2dd0dda,lo-fi cover
Edward Ong,Lover - Instrumental,https://i.scdn.co/image/ab67616d0000b27309569737f8ef89a1e85fa5a6,acoustic guitar cover
Lowfie,something in the orange - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
Chilled Almond,Bad Decisions - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b2739ec6ef5ad75c25dd10b1d15a,N/A
Chilled Pig,Running Up That Hill - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b27383a9c43ffc304d637eb639fb,N/A
Lowfie,"Shakira: Bzrp Music Sessions, Vol. 53 - instrumental lofi",https://i.scdn.co/image/ab67616d0000b273e647e232dc06f719fe355a2a,lo-fi cover
Chilled Pig,Ghost - Piano Instrumental,https://i.scdn.co/image/ab67616d0000b273e1951d6fd8f17d442f706c09,N/A
Bobby G,ceilings - Saxophone Version,https://i.scdn.co/image/ab67616d0000b273b3ad8474e55b0e7ca324e2d6,N/A
Lowfie,star walkin - instrumental lofi,https://i.scdn.co/image/ab67616d0000b27394d25c0c4b530795ff8d46e4,lo-fi cover
Lowfie,lift me up - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
Lowfie,la bachata - instrumental lofi,https://i.scdn.co/image/ab67616d0000b273fa42727231afb66dd7bcc9e4,lo-fi cover
